"Summary,Issue Type,Epic Link,Description"
"Complete Intended Purpose Statement,Story,""Regulatory Classification & Intended Purpose"",""Draft intended purpose, define target users, clinical domain, and limits of use."""
"Define Target Users,Task,""Regulatory Classification & Intended Purpose"",""Identify clinical user groups (midwives, doctors, AHPs)."""
"Define Clinical Domain (Maternity First),Task,""Regulatory Classification & Intended Purpose"",""Specify maternity as first deployment environment."""
"Define Limits of Use,Task,""Regulatory Classification & Intended Purpose"",""Clarify boundaries: documentation support only, not autonomous decision-making."""

"Perform Formal Risk Classification,Story,""Regulatory Classification & Intended Purpose"",""Work with Acorn to classify Clerky (Class I vs IIa)."""
"Provide Product Description to Acorn,Task,""Regulatory Classification & Intended Purpose"",""Send architecture, feature summary, intended workflows."""
"Attend Classification Workshop,Task,""Regulatory Classification & Intended Purpose"",""Join Acorn session for classification scoring."""
"Review Risk Classification Report,Task,""Regulatory Classification & Intended Purpose"",""Read, check, and approve Acorn’s classification."""
"Store Final Classification Document,Task,""Regulatory Classification & Intended Purpose"",""Add final PDF to QMS folder."""

"Receive Compliance Roadmap from Acorn,Story,""Compliance Roadmap"",""Obtain formal roadmap for QMS, ISO, evidence, and documentation."""
"Provide Inputs to Acorn,Task,""Compliance Roadmap"",""Share required information (codebase, workflow notes, etc.)."""
"Review Proposed Roadmap,Task,""Compliance Roadmap"",""Assess milestones and confirm expectations."""
"Import Roadmap Milestones into Jira,Task,""Compliance Roadmap"",""Create epics/stories matching roadmap."""
"Store Roadmap in QMS Folder,Task,""Compliance Roadmap"",""Upload roadmap into Drive."""

"Establish QMS Folder Structure,Story,""QMS Setup (ISO 13485)"",""Create Drive folder structure suitable for ISO13485/62304/DCB0129."""
"Create Document Control SOP,Task,""QMS Setup (ISO 13485)"",""Create SOP for version control, approvals, and updates."""
"Create Training Log,Task,""QMS Setup (ISO 13485)"",""Set up training record spreadsheet."""
"Create Quality Policy Draft,Task,""QMS Setup (ISO 13485)"",""Draft quality commitments as required by ISO 13485."""

"Implement Quality Processes,Story,""QMS Setup (ISO 13485)"",""Introduce release policies, code review processes, and incident reporting."""
"Set Up Release Approval Workflow,Task,""QMS Setup (ISO 13485)"",""Define approval steps pre-deployment."""
"Set Up Code Review Policy,Task,""QMS Setup (ISO 13485)"",""Define required checks before merging."""
"Add Incident / Safety Reporting Flow,Task,""QMS Setup (ISO 13485)"",""Define process for reporting and handling incidents."""

"Map Current Development Workflow,Story,""ISO 62304 Software Lifecycle"",""Review existing Jira flow against ISO 62304 lifecycle needs."""
"Add Lifecycle Gates,Task,""ISO 62304 Software Lifecycle"",""Implement Ready → In Dev → Testing → Release gates."""
"Create Requirements Traceability Template,Task,""ISO 62304 Software Lifecycle"",""Create spreadsheet for requirement → implementation → test mapping."""

"Document Architecture & SOUP,Story,""ISO 62304 Software Lifecycle"",""Document architecture, modules, and third-party code (SOUP)."""
"List All SOUP Components,Task,""ISO 62304 Software Lifecycle"",""Catalogue 3rd-party libs and justify safety."""
"Create Architecture Diagram,Task,""ISO 62304 Software Lifecycle"",""Create system and module diagrams."""
"Document Safety-Related Software Functions,Task,""ISO 62304 Software Lifecycle"",""Identify any safety-related functions for SaMD."""

"Set Up Evidence Log,Story,""Evidence Generation"",""Create central log for safety, equivalence, usability, and technical tests."""
"Perform Literature Search for Equivalence,Task,""Evidence Generation"",""Search for comparable SaMD devices."""
"Identify Comparator Devices,Task,""Evidence Generation"",""e.g., IatroX and guideline-matching tools."""
"Collect Technical Test Data,Task,""Evidence Generation"",""Gather logs, stress tests, reliability tests."""
"Document AI Safety Constraints,Task,""Evidence Generation"",""Record guardrails, fallbacks, and model-switching logic."""

"Plan Usability Testing,Story,""Evidence Generation"",""Plan user studies to demonstrate safety and usability."""
"Draft Usability Protocol,Task,""Evidence Generation"",""Define scenarios, participants, and metrics."""
"Identify Pilot Clinical Users,Task,""Evidence Generation"",""Select clinicians in maternity triage."""
"Plan Data Capture,Task,""Evidence Generation"",""Define how qualitative and quantitative data will be collected."""

"Set Up Squirrel Workspace,Story,""Squirrel Setup"",""Configure Acorn’s compliance platform."""
"Upload Initial Product Information,Task,""Squirrel Setup"",""Enter baseline descriptions, architecture, claims."""
"Begin DTAC Checklist,Task,""Squirrel Setup"",""Start DTAC items inside Squirrel."""
"Begin DPIA Assessment,Task,""Squirrel Setup"",""Answer 24 DPIA questions."""
"Begin Security Checklist,Task,""Squirrel Setup"",""Start cybersecurity evidence collection."""

"Auto-Generate Documents via Squirrel,Story,""Squirrel Setup"",""Use Squirrel’s AI tools to produce documentation."""
"Generate GDPR Documentation,Task,""Squirrel Setup"",""Use Squirrel to build GDPR artefacts."""
"Generate DPIA Draft,Task,""Squirrel Setup"",""Produce DPIA v1 via Squirrel."""
"Generate Accessibility Checklist,Task,""Squirrel Setup"",""Produce A11y documentation."""
"Export All Squirrel Documents,Task,""Squirrel Setup"",""Store them inside QMS Drive folder."""

"Prepare Codebase for Audit,Story,""Codebase Preparation"",""Prepare code and documentation for ISO/62304 audit readiness."""
"Share Repository Access with Acorn,Task,""Codebase Preparation"",""Grant read-only or dev access."""
"Document Development Environment,Task,""Codebase Preparation"",""Describe tools, versions, build steps."""
"Add Logging for Traceability,Task,""Codebase Preparation"",""Introduce log events relevant for verification."""
"Document Release History,Task,""Codebase Preparation"",""Record major and minor releases."""

"Continue Prototype Development,Story,""Prototype Development"",""Continue improving guideline matching and suggestions."""
"Improve Guideline Matching,Task,""Prototype Development"",""Refine NLP relevance pipeline."""
"Improve Suggestion Generation,Task,""Prototype Development"",""Improve accuracy of clinical suggestions."""
"Refactor Code for Auditability,Task,""Prototype Development"",""Refactor modules to simplify traceability."""
"Prepare Pilot-Ready Build,Task,""Prototype Development"",""Stabilise build for maternity pilot."""
